recommendation_id,device_id,case_id,if_approved_threat_contained,if_approved_device_isolated,if_approved_user_impact,if_dismissed_malware_spread,if_dismissed_security_risk,if_dismissed_business_impact
REC-0036,DEV-0227,CASE-0036,Threat contained and lateral movement prevented,DEV-0227-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0037,DEV-0122,CASE-0037,Threat contained and lateral movement prevented,DEV-0122-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0038,DEV-0046,CASE-0038,Threat contained and lateral movement prevented,DEV-0046-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0039,DEV-0011,CASE-0039,Threat contained and lateral movement prevented,DEV-0011-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0040,DEV-0181,CASE-0040,Threat contained and lateral movement prevented,DEV-0181-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0041,DEV-0154,CASE-0041,Threat contained and lateral movement prevented,DEV-0154-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0042,DEV-0103,CASE-0042,Threat contained and lateral movement prevented,DEV-0103-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0043,DEV-0029,CASE-0043,Threat contained and lateral movement prevented,DEV-0029-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0044,DEV-0183,CASE-0044,Threat contained and lateral movement prevented,DEV-0183-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0045,DEV-0021,CASE-0045,Threat contained and lateral movement prevented,DEV-0021-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0046,DEV-0121,CASE-0046,Threat contained and lateral movement prevented,DEV-0121-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0047,DEV-0215,CASE-0047,Threat contained and lateral movement prevented,DEV-0215-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0048,DEV-0202,CASE-0048,Threat contained and lateral movement prevented,DEV-0202-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0049,DEV-0111,CASE-0049,Threat contained and lateral movement prevented,DEV-0111-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0050,DEV-0070,CASE-0050,Threat contained and lateral movement prevented,DEV-0070-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0051,DEV-0079,CASE-0051,Threat contained and lateral movement prevented,DEV-0079-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0052,DEV-0212,CASE-0052,Threat contained and lateral movement prevented,DEV-0212-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0053,DEV-0151,CASE-0053,Threat contained and lateral movement prevented,DEV-0151-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0054,DEV-0062,CASE-0054,Threat contained and lateral movement prevented,DEV-0062-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0055,DEV-0060,CASE-0055,Threat contained and lateral movement prevented,DEV-0060-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0056,DEV-0097,CASE-0056,Threat contained and lateral movement prevented,DEV-0097-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0057,DEV-0192,CASE-0057,Threat contained and lateral movement prevented,DEV-0192-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0058,DEV-0123,CASE-0058,Threat contained and lateral movement prevented,DEV-0123-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0059,DEV-0155,CASE-0059,Threat contained and lateral movement prevented,DEV-0155-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0060,DEV-0218,CASE-0060,Threat contained and lateral movement prevented,DEV-0218-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0061,DEV-0246,CASE-0061,Threat contained and lateral movement prevented,DEV-0246-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0062,DEV-0201,CASE-0062,Threat contained and lateral movement prevented,DEV-0201-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0063,DEV-0108,CASE-0063,Threat contained and lateral movement prevented,DEV-0108-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0064,DEV-0148,CASE-0064,Threat contained and lateral movement prevented,DEV-0148-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0065,DEV-0001,CASE-0065,Threat contained and lateral movement prevented,DEV-0001-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0066,DEV-0124,CASE-0066,Threat contained and lateral movement prevented,DEV-0124-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0067,DEV-0051,CASE-0067,Threat contained and lateral movement prevented,DEV-0051-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0068,DEV-0161,CASE-0068,Threat contained and lateral movement prevented,DEV-0161-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0069,DEV-0166,CASE-0069,Threat contained and lateral movement prevented,DEV-0166-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0070,DEV-0009,CASE-0070,Threat contained and lateral movement prevented,DEV-0009-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0071,DEV-0100,CASE-0071,Threat contained and lateral movement prevented,DEV-0100-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0072,DEV-0237,CASE-0072,Threat contained and lateral movement prevented,DEV-0237-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0073,DEV-0011,CASE-0073,Threat contained and lateral movement prevented,DEV-0011-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0074,DEV-0109,CASE-0074,Threat contained and lateral movement prevented,DEV-0109-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0075,DEV-0222,CASE-0075,Threat contained and lateral movement prevented,DEV-0222-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0076,DEV-0200,CASE-0076,Threat contained and lateral movement prevented,DEV-0200-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0077,DEV-0137,CASE-0077,Threat contained and lateral movement prevented,DEV-0137-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0078,DEV-0098,CASE-0078,Threat contained and lateral movement prevented,DEV-0098-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0079,DEV-0108,CASE-0079,Threat contained and lateral movement prevented,DEV-0108-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0080,DEV-0245,CASE-0080,Threat contained and lateral movement prevented,DEV-0245-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0081,DEV-0146,CASE-0081,Threat contained and lateral movement prevented,DEV-0146-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0082,DEV-0077,CASE-0082,Threat contained and lateral movement prevented,DEV-0077-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0083,DEV-0047,CASE-0083,Threat contained and lateral movement prevented,DEV-0047-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0084,DEV-0142,CASE-0084,Threat contained and lateral movement prevented,DEV-0142-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0085,DEV-0226,CASE-0085,Threat contained and lateral movement prevented,DEV-0226-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0086,DEV-0067,CASE-0086,Threat contained and lateral movement prevented,DEV-0067-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0087,DEV-0155,CASE-0087,Threat contained and lateral movement prevented,DEV-0155-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0088,DEV-0039,CASE-0088,Threat contained and lateral movement prevented,DEV-0039-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0089,DEV-0156,CASE-0089,Threat contained and lateral movement prevented,DEV-0156-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0090,DEV-0014,CASE-0090,Threat contained and lateral movement prevented,DEV-0014-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0091,DEV-0226,CASE-0091,Threat contained and lateral movement prevented,DEV-0226-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0092,DEV-0092,CASE-0092,Threat contained and lateral movement prevented,DEV-0092-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0093,DEV-0015,CASE-0093,Threat contained and lateral movement prevented,DEV-0015-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0094,DEV-0148,CASE-0094,Threat contained and lateral movement prevented,DEV-0148-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0095,DEV-0205,CASE-0095,Threat contained and lateral movement prevented,DEV-0205-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0096,DEV-0145,CASE-0096,Threat contained and lateral movement prevented,DEV-0145-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0097,DEV-0150,CASE-0097,Threat contained and lateral movement prevented,DEV-0150-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0098,DEV-0041,CASE-0098,Threat contained and lateral movement prevented,DEV-0041-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0099,DEV-0188,CASE-0099,Threat contained and lateral movement prevented,DEV-0188-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0100,DEV-0082,CASE-0100,Threat contained and lateral movement prevented,DEV-0082-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0101,DEV-0186,CASE-0101,Threat contained and lateral movement prevented,DEV-0186-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0102,DEV-0079,CASE-0102,Threat contained and lateral movement prevented,DEV-0079-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0103,DEV-0172,CASE-0103,Threat contained and lateral movement prevented,DEV-0172-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0104,DEV-0066,CASE-0104,Threat contained and lateral movement prevented,DEV-0066-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0105,DEV-0133,CASE-0105,Threat contained and lateral movement prevented,DEV-0133-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0106,DEV-0148,CASE-0106,Threat contained and lateral movement prevented,DEV-0148-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0107,DEV-0242,CASE-0107,Threat contained and lateral movement prevented,DEV-0242-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0108,DEV-0234,CASE-0108,Threat contained and lateral movement prevented,DEV-0234-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Engineering workflows if threat is real
REC-0109,DEV-0114,CASE-0109,Threat contained and lateral movement prevented,DEV-0114-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0110,DEV-0220,CASE-0110,Threat contained and lateral movement prevented,DEV-0220-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0111,DEV-0198,CASE-0111,Threat contained and lateral movement prevented,DEV-0198-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0112,DEV-0060,CASE-0112,Threat contained and lateral movement prevented,DEV-0060-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
