recommendation_id,device_id,case_id,past_similar_cases,correct_recommendations,incorrect_recommendations,historical_reliability_score,known_weaknesses
REC-0062,DEV-0201,CASE-0062,101,69,1,98.6,Reduced accuracy on staging environments; Struggles with executive device context; Limited visibility during VPN outages
REC-0063,DEV-0108,CASE-0063,93,20,0,100.0,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0064,DEV-0148,CASE-0064,42,41,0,100.0,Limited visibility during VPN outages; Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0065,DEV-0001,CASE-0065,85,75,1,98.7,Reduced accuracy on staging environments
REC-0066,DEV-0124,CASE-0066,65,36,1,97.3,Over-flags Linux devices; Struggles with executive device context; Less reliable on previously unseen device models
REC-0067,DEV-0051,CASE-0067,81,74,2,97.4,Over-flags Linux devices; Less reliable on previously unseen device models; Struggles with executive device context
REC-0068,DEV-0161,CASE-0068,96,21,1,95.5,Over-flags Linux devices; Elevated false positives during patch windows
REC-0069,DEV-0166,CASE-0069,58,21,0,100.0,Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0070,DEV-0009,CASE-0070,89,22,1,95.7,Struggles with executive device context; Elevated false positives during patch windows
REC-0071,DEV-0100,CASE-0071,118,54,3,94.7,Struggles with executive device context
REC-0072,DEV-0237,CASE-0072,35,27,0,100.0,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0073,DEV-0011,CASE-0073,73,22,1,95.7,Less reliable on previously unseen device models; Struggles with executive device context
REC-0074,DEV-0109,CASE-0074,74,69,4,94.5,Less reliable on previously unseen device models
REC-0075,DEV-0222,CASE-0075,85,71,5,93.4,Limited visibility during VPN outages; Struggles with executive device context; Reduced accuracy on staging environments
REC-0076,DEV-0200,CASE-0076,109,26,1,96.3,Limited visibility during VPN outages; Struggles with executive device context
REC-0077,DEV-0137,CASE-0077,25,67,3,95.7,Reduced accuracy on staging environments
REC-0078,DEV-0098,CASE-0078,94,48,0,100.0,Over-flags Linux devices; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0079,DEV-0108,CASE-0079,62,38,1,97.4,Overweights failed login signals on shared kiosks
REC-0080,DEV-0245,CASE-0080,109,28,1,96.6,Limited visibility during VPN outages
REC-0081,DEV-0146,CASE-0081,58,62,0,100.0,Elevated false positives during patch windows; Over-flags Linux devices
REC-0082,DEV-0077,CASE-0082,85,53,1,98.1,Elevated false positives during patch windows; Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0083,DEV-0047,CASE-0083,104,26,0,100.0,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows; Struggles with executive device context
REC-0084,DEV-0142,CASE-0084,95,77,3,96.2,Struggles with executive device context
REC-0085,DEV-0226,CASE-0085,102,53,2,96.4,Over-flags Linux devices; Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0086,DEV-0067,CASE-0086,61,48,3,94.1,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0087,DEV-0155,CASE-0087,93,65,5,92.9,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0088,DEV-0039,CASE-0088,54,34,2,94.4,Overweights failed login signals on shared kiosks
REC-0089,DEV-0156,CASE-0089,73,21,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0090,DEV-0014,CASE-0090,22,65,3,95.6,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0091,DEV-0226,CASE-0091,59,78,2,97.5,Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0092,DEV-0092,CASE-0092,60,73,3,96.1,Less reliable on previously unseen device models
REC-0093,DEV-0015,CASE-0093,89,70,5,93.3,Reduced accuracy on staging environments; Elevated false positives during patch windows; Struggles with executive device context
REC-0094,DEV-0148,CASE-0094,111,66,5,93.0,Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0095,DEV-0205,CASE-0095,42,26,1,96.3,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Over-flags Linux devices
REC-0096,DEV-0145,CASE-0096,56,51,2,96.2,Reduced accuracy on staging environments; Struggles with executive device context
REC-0097,DEV-0150,CASE-0097,29,50,1,98.0,Struggles with executive device context; Limited visibility during VPN outages
REC-0098,DEV-0041,CASE-0098,45,52,4,92.9,Struggles with executive device context
REC-0099,DEV-0188,CASE-0099,64,24,1,96.0,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0100,DEV-0082,CASE-0100,46,61,2,96.8,Limited visibility during VPN outages
REC-0101,DEV-0186,CASE-0101,68,39,2,95.1,Over-flags Linux devices
REC-0102,DEV-0079,CASE-0102,41,37,1,97.4,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0103,DEV-0172,CASE-0103,29,20,0,100.0,Elevated false positives during patch windows; Limited visibility during VPN outages; Struggles with executive device context
REC-0104,DEV-0066,CASE-0104,115,47,0,100.0,Elevated false positives during patch windows; Over-flags Linux devices
REC-0105,DEV-0133,CASE-0105,107,44,3,93.6,Struggles with executive device context; Limited visibility during VPN outages
REC-0106,DEV-0148,CASE-0106,119,72,2,97.3,Over-flags Linux devices; Limited visibility during VPN outages
REC-0107,DEV-0242,CASE-0107,32,35,2,94.6,Struggles with executive device context; Over-flags Linux devices
REC-0108,DEV-0234,CASE-0108,80,66,5,93.0,Limited visibility during VPN outages
REC-0109,DEV-0114,CASE-0109,47,79,2,97.5,Struggles with executive device context; Over-flags Linux devices
REC-0110,DEV-0220,CASE-0110,41,42,3,93.3,Elevated false positives during patch windows
REC-0111,DEV-0198,CASE-0111,31,44,3,93.6,Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0112,DEV-0060,CASE-0112,85,69,2,97.2,Limited visibility during VPN outages; Over-flags Linux devices; Elevated false positives during patch windows
REC-0113,DEV-0156,CASE-0113,47,56,2,96.6,Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0114,DEV-0151,CASE-0114,77,59,2,96.7,Less reliable on previously unseen device models; Over-flags Linux devices
REC-0115,DEV-0239,CASE-0115,73,48,3,94.1,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0116,DEV-0189,CASE-0116,67,31,2,93.9,Elevated false positives during patch windows
REC-0117,DEV-0009,CASE-0117,20,71,0,100.0,Over-flags Linux devices; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0118,DEV-0147,CASE-0118,88,47,2,95.9,Elevated false positives during patch windows; Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0119,DEV-0201,CASE-0119,94,39,1,97.5,Reduced accuracy on staging environments; Limited visibility during VPN outages
REC-0120,DEV-0218,CASE-0120,119,55,1,98.2,Limited visibility during VPN outages
REC-0121,DEV-0130,CASE-0121,81,63,4,94.0,Reduced accuracy on staging environments; Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0122,DEV-0098,CASE-0122,59,21,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments; Limited visibility during VPN outages
REC-0123,DEV-0212,CASE-0123,67,74,3,96.1,Overweights failed login signals on shared kiosks
REC-0124,DEV-0204,CASE-0124,24,40,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context; Overweights failed login signals on shared kiosks
REC-0125,DEV-0210,CASE-0125,101,57,4,93.4,Over-flags Linux devices; Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0126,DEV-0206,CASE-0126,54,35,0,100.0,Reduced accuracy on staging environments; Struggles with executive device context; Overweights failed login signals on shared kiosks
REC-0127,DEV-0033,CASE-0127,25,62,0,100.0,Reduced accuracy on staging environments
REC-0128,DEV-0079,CASE-0128,64,20,0,100.0,Over-flags Linux devices; Limited visibility during VPN outages
REC-0129,DEV-0243,CASE-0129,107,26,1,96.3,Less reliable on previously unseen device models
REC-0130,DEV-0080,CASE-0130,56,27,0,100.0,Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0131,DEV-0062,CASE-0131,82,75,6,92.6,Elevated false positives during patch windows; Limited visibility during VPN outages; Struggles with executive device context
REC-0132,DEV-0215,CASE-0132,100,34,2,94.4,Reduced accuracy on staging environments; Over-flags Linux devices
REC-0133,DEV-0196,CASE-0133,111,53,3,94.6,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0134,DEV-0129,CASE-0134,86,62,5,92.5,Struggles with executive device context; Limited visibility during VPN outages; Over-flags Linux devices
REC-0135,DEV-0160,CASE-0135,67,51,1,98.1,Less reliable on previously unseen device models; Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0136,DEV-0180,CASE-0136,82,47,1,97.9,Over-flags Linux devices; Less reliable on previously unseen device models; Limited visibility during VPN outages
REC-0137,DEV-0195,CASE-0137,73,24,1,96.0,Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0138,DEV-0160,CASE-0138,101,22,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments
REC-0139,DEV-0032,CASE-0139,15,50,4,92.6,Struggles with executive device context
REC-0140,DEV-0235,CASE-0140,40,57,0,100.0,Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0141,DEV-0189,CASE-0141,52,49,1,98.0,Less reliable on previously unseen device models; Reduced accuracy on staging environments
REC-0142,DEV-0003,CASE-0142,47,47,1,97.9,Struggles with executive device context
REC-0143,DEV-0143,CASE-0143,15,61,2,96.8,Limited visibility during VPN outages
REC-0144,DEV-0024,CASE-0144,39,57,0,100.0,Reduced accuracy on staging environments
REC-0145,DEV-0055,CASE-0145,29,61,4,93.8,Struggles with executive device context; Reduced accuracy on staging environments
REC-0146,DEV-0100,CASE-0146,51,23,0,100.0,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks
REC-0147,DEV-0145,CASE-0147,103,75,4,94.9,Reduced accuracy on staging environments
REC-0148,DEV-0081,CASE-0148,21,36,1,97.3,Struggles with executive device context; Elevated false positives during patch windows; Over-flags Linux devices
REC-0149,DEV-0126,CASE-0149,110,59,4,93.7,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0150,DEV-0086,CASE-0150,23,59,4,93.7,Reduced accuracy on staging environments; Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0151,DEV-0021,CASE-0151,108,54,3,94.7,Overweights failed login signals on shared kiosks; Struggles with executive device context; Elevated false positives during patch windows
REC-0152,DEV-0057,CASE-0152,111,45,1,97.8,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0153,DEV-0127,CASE-0153,22,24,1,96.0,Limited visibility during VPN outages
REC-0154,DEV-0074,CASE-0154,82,20,0,100.0,Elevated false positives during patch windows; Over-flags Linux devices
REC-0155,DEV-0049,CASE-0155,35,25,0,100.0,Over-flags Linux devices
REC-0156,DEV-0058,CASE-0156,88,79,2,97.5,Overweights failed login signals on shared kiosks
REC-0157,DEV-0147,CASE-0157,61,30,0,100.0,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0158,DEV-0060,CASE-0158,18,66,3,95.7,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0159,DEV-0107,CASE-0159,108,41,0,100.0,Struggles with executive device context; Elevated false positives during patch windows
REC-0160,DEV-0004,CASE-0160,96,41,3,93.2,Over-flags Linux devices; Struggles with executive device context
REC-0161,DEV-0116,CASE-0161,97,25,1,96.2,Limited visibility during VPN outages
REC-0162,DEV-0156,CASE-0162,72,62,4,93.9,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Struggles with executive device context
REC-0163,DEV-0033,CASE-0163,77,28,0,100.0,Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0164,DEV-0047,CASE-0164,95,38,0,100.0,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages; Over-flags Linux devices
REC-0165,DEV-0219,CASE-0165,90,21,0,100.0,Overweights failed login signals on shared kiosks
REC-0166,DEV-0176,CASE-0166,70,55,2,96.5,Elevated false positives during patch windows
REC-0167,DEV-0244,CASE-0167,44,26,0,100.0,Struggles with executive device context; Over-flags Linux devices; Less reliable on previously unseen device models
REC-0168,DEV-0196,CASE-0168,34,29,1,96.7,Over-flags Linux devices; Less reliable on previously unseen device models; Struggles with executive device context
REC-0169,DEV-0064,CASE-0169,113,68,2,97.1,Overweights failed login signals on shared kiosks; Struggles with executive device context; Elevated false positives during patch windows
REC-0170,DEV-0045,CASE-0170,102,62,2,96.9,Overweights failed login signals on shared kiosks
REC-0171,DEV-0179,CASE-0171,65,34,2,94.4,Over-flags Linux devices
REC-0172,DEV-0061,CASE-0172,58,32,0,100.0,Struggles with executive device context; Over-flags Linux devices
REC-0173,DEV-0189,CASE-0173,70,38,1,97.4,Less reliable on previously unseen device models; Reduced accuracy on staging environments; Over-flags Linux devices
REC-0174,DEV-0088,CASE-0174,81,36,0,100.0,Less reliable on previously unseen device models; Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0175,DEV-0189,CASE-0175,41,53,1,98.1,Less reliable on previously unseen device models
REC-0176,DEV-0068,CASE-0176,54,56,1,98.2,Struggles with executive device context; Limited visibility during VPN outages
REC-0177,DEV-0142,CASE-0177,87,73,4,94.8,Over-flags Linux devices; Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0178,DEV-0163,CASE-0178,72,54,3,94.7,Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0179,DEV-0099,CASE-0179,39,44,0,100.0,Over-flags Linux devices; Elevated false positives during patch windows; Struggles with executive device context
REC-0180,DEV-0118,CASE-0180,21,26,1,96.3,Limited visibility during VPN outages; Struggles with executive device context; Overweights failed login signals on shared kiosks
REC-0181,DEV-0220,CASE-0181,26,46,0,100.0,Elevated false positives during patch windows; Struggles with executive device context; Limited visibility during VPN outages
REC-0182,DEV-0158,CASE-0182,72,26,0,100.0,Over-flags Linux devices
REC-0183,DEV-0170,CASE-0183,102,60,0,100.0,Reduced accuracy on staging environments; Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0184,DEV-0233,CASE-0184,37,78,5,94.0,Less reliable on previously unseen device models; Limited visibility during VPN outages; Elevated false positives during patch windows
REC-0185,DEV-0243,CASE-0185,88,73,6,92.4,Struggles with executive device context; Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0186,DEV-0028,CASE-0186,71,20,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0187,DEV-0209,CASE-0187,68,41,1,97.6,Over-flags Linux devices; Less reliable on previously unseen device models
REC-0188,DEV-0216,CASE-0188,32,29,0,100.0,Elevated false positives during patch windows
REC-0189,DEV-0048,CASE-0189,38,49,3,94.2,Over-flags Linux devices; Struggles with executive device context; Less reliable on previously unseen device models
REC-0190,DEV-0093,CASE-0190,108,32,0,100.0,Limited visibility during VPN outages; Over-flags Linux devices
REC-0191,DEV-0026,CASE-0191,15,36,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments
REC-0192,DEV-0191,CASE-0192,104,34,2,94.4,Struggles with executive device context; Elevated false positives during patch windows
REC-0193,DEV-0061,CASE-0193,64,34,1,97.1,Struggles with executive device context; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0194,DEV-0215,CASE-0194,46,53,3,94.6,Over-flags Linux devices; Overweights failed login signals on shared kiosks; Limited visibility during VPN outages
REC-0195,DEV-0081,CASE-0195,72,62,2,96.9,Limited visibility during VPN outages
REC-0196,DEV-0215,CASE-0196,46,38,2,95.0,Overweights failed login signals on shared kiosks
REC-0197,DEV-0008,CASE-0197,115,54,3,94.7,Over-flags Linux devices
REC-0198,DEV-0083,CASE-0198,116,58,1,98.3,Overweights failed login signals on shared kiosks
REC-0199,DEV-0235,CASE-0199,25,68,2,97.1,Limited visibility during VPN outages; Elevated false positives during patch windows; Over-flags Linux devices
REC-0200,DEV-0103,CASE-0200,85,28,0,100.0,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0201,DEV-0137,CASE-0201,75,39,0,100.0,Over-flags Linux devices
REC-0202,DEV-0236,CASE-0202,57,31,0,100.0,Elevated false positives during patch windows
REC-0203,DEV-0002,CASE-0203,99,37,0,100.0,Less reliable on previously unseen device models; Elevated false positives during patch windows; Struggles with executive device context
REC-0204,DEV-0084,CASE-0204,24,35,0,100.0,Elevated false positives during patch windows; Reduced accuracy on staging environments; Limited visibility during VPN outages
REC-0205,DEV-0033,CASE-0205,101,26,0,100.0,Elevated false positives during patch windows
REC-0206,DEV-0214,CASE-0206,80,63,3,95.5,Overweights failed login signals on shared kiosks
REC-0207,DEV-0096,CASE-0207,97,73,6,92.4,Struggles with executive device context; Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0208,DEV-0200,CASE-0208,114,50,2,96.2,Struggles with executive device context; Limited visibility during VPN outages
REC-0209,DEV-0084,CASE-0209,60,61,4,93.8,Overweights failed login signals on shared kiosks; Over-flags Linux devices
REC-0210,DEV-0141,CASE-0210,26,34,0,100.0,Less reliable on previously unseen device models
REC-0211,DEV-0068,CASE-0211,77,40,3,93.0,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0212,DEV-0004,CASE-0212,99,41,3,93.2,Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0213,DEV-0171,CASE-0213,71,24,0,100.0,Over-flags Linux devices
REC-0214,DEV-0055,CASE-0214,59,38,2,95.0,Over-flags Linux devices; Struggles with executive device context
REC-0215,DEV-0160,CASE-0215,110,69,1,98.6,Elevated false positives during patch windows; Less reliable on previously unseen device models; Over-flags Linux devices
REC-0216,DEV-0091,CASE-0216,111,69,3,95.8,Less reliable on previously unseen device models; Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0217,DEV-0221,CASE-0217,112,44,1,97.8,Over-flags Linux devices
REC-0218,DEV-0106,CASE-0218,114,38,2,95.0,Limited visibility during VPN outages
REC-0219,DEV-0027,CASE-0219,22,67,1,98.5,Less reliable on previously unseen device models
REC-0220,DEV-0169,CASE-0220,63,20,1,95.2,Less reliable on previously unseen device models; Struggles with executive device context; Reduced accuracy on staging environments
REC-0221,DEV-0243,CASE-0221,111,30,1,96.8,Over-flags Linux devices
REC-0222,DEV-0016,CASE-0222,100,30,2,93.8,Over-flags Linux devices
REC-0223,DEV-0048,CASE-0223,25,60,4,93.8,Overweights failed login signals on shared kiosks
REC-0224,DEV-0122,CASE-0224,48,30,0,100.0,Less reliable on previously unseen device models
REC-0225,DEV-0192,CASE-0225,21,28,0,100.0,Reduced accuracy on staging environments
REC-0226,DEV-0216,CASE-0226,84,33,1,97.1,Struggles with executive device context; Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0227,DEV-0202,CASE-0227,90,27,1,96.4,Struggles with executive device context; Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0228,DEV-0210,CASE-0228,109,29,1,96.7,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0229,DEV-0062,CASE-0229,119,66,1,98.5,Struggles with executive device context
REC-0230,DEV-0221,CASE-0230,106,59,0,100.0,Elevated false positives during patch windows; Less reliable on previously unseen device models
REC-0231,DEV-0082,CASE-0231,100,41,2,95.3,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Reduced accuracy on staging environments
REC-0232,DEV-0183,CASE-0232,28,33,2,94.3,Limited visibility during VPN outages; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0233,DEV-0073,CASE-0233,118,61,0,100.0,Overweights failed login signals on shared kiosks
REC-0234,DEV-0149,CASE-0234,107,29,0,100.0,Struggles with executive device context; Limited visibility during VPN outages; Over-flags Linux devices
REC-0235,DEV-0106,CASE-0235,31,43,1,97.7,Less reliable on previously unseen device models; Elevated false positives during patch windows; Struggles with executive device context
REC-0236,DEV-0154,CASE-0236,26,78,6,92.9,Over-flags Linux devices; Reduced accuracy on staging environments; Elevated false positives during patch windows
REC-0237,DEV-0176,CASE-0237,94,79,3,96.3,Limited visibility during VPN outages
REC-0238,DEV-0131,CASE-0238,47,48,2,96.0,Limited visibility during VPN outages
REC-0239,DEV-0037,CASE-0239,52,27,1,96.4,Limited visibility during VPN outages
REC-0240,DEV-0098,CASE-0240,37,47,2,95.9,Less reliable on previously unseen device models; Elevated false positives during patch windows; Over-flags Linux devices
REC-0241,DEV-0102,CASE-0241,77,69,5,93.2,Elevated false positives during patch windows; Less reliable on previously unseen device models; Struggles with executive device context
REC-0242,DEV-0056,CASE-0242,27,53,2,96.4,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0243,DEV-0039,CASE-0243,92,35,1,97.2,Less reliable on previously unseen device models; Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0244,DEV-0057,CASE-0244,58,35,2,94.6,Struggles with executive device context; Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0245,DEV-0108,CASE-0245,94,39,0,100.0,Struggles with executive device context; Over-flags Linux devices; Elevated false positives during patch windows
REC-0246,DEV-0011,CASE-0246,94,55,2,96.5,Struggles with executive device context; Elevated false positives during patch windows; Over-flags Linux devices
REC-0247,DEV-0175,CASE-0247,104,64,1,98.5,Overweights failed login signals on shared kiosks; Struggles with executive device context; Elevated false positives during patch windows
